Budget,Best total cost,Best total points,Individual costs,Id
500,500,1167,"[43, 43, 44, 44, 44, 45, 46, 46, 46, 49, 50]","[336, 290, 439, 416, 42, 536, 56, 34, 278, 436, 574]"
550,550,1397,"[44, 44, 45, 46, 49, 49, 50, 51, 52, 58, 62]","[336, 439, 416, 202, 111, 48, 34, 278, 436, 33, 54]"
600,599,1563,"[44, 45, 46, 49, 50, 51, 58, 62, 63, 64, 67]","[500, 439, 416, 42, 111, 48, 278, 436, 77, 78, 54]"
650,650,1702,"[45, 49, 50, 51, 52, 58, 62, 63, 64, 67, 89]","[500, 416, 202, 111, 48, 394, 436, 33, 77, 78, 54]"
700,700,1821,"[45, 49, 50, 51, 62, 63, 64, 67, 69, 89, 91]","[500, 416, 202, 48, 394, 398, 436, 77, 78, 561, 54]"
750,749,1930,"[45, 51, 52, 58, 62, 64, 67, 69, 89, 91, 101]","[143, 416, 111, 48, 394, 398, 33, 77, 78, 561, 54]"
800,799,2020,"[51, 52, 62, 63, 64, 67, 69, 74, 89, 91, 117]","[500, 48, 368, 394, 398, 12, 33, 77, 78, 561, 54]"
850,847,2103,"[51, 62, 62, 64, 67, 69, 74, 89, 91, 101, 117]","[143, 48, 368, 394, 398, 12, 384, 77, 78, 561, 54]"
900,890,2149,"[51, 62, 64, 67, 69, 74, 89, 91, 101, 105, 117]","[143, 368, 394, 398, 82, 12, 384, 77, 78, 561, 54]"
950,939,2170,"[51, 62, 64, 67, 69, 89, 91, 105, 105, 117, 119]","[403, 394, 398, 82, 235, 12, 384, 77, 78, 561, 54]"
1000,939,2170,"[51, 62, 64, 67, 69, 89, 91, 105, 105, 117, 119]","[403, 394, 398, 82, 235, 12, 384, 77, 78, 561, 54]"
