Budget,Best total cost,Best total points,Individual costs,Id,Formation,Name,Team,Team position,Dreamteam,Amount in Dreamteam,Months in Dreamteam,Selected by percentage
500,499,1170,"[41, 43, 44, 44, 45, 45, 46, 46, 46, 47, 52]","[548, 367, 127, 90, 132, 220, 117, 171, 468, 164, 350]","[5, 4, 1]","['Oumar Niasse', 'Tom Carroll', 'James McArthur', 'Jack Cork', 'Luka Milivojevic', 'Ragnar Klavan', 'James Tomkins', 'Mathias Jorgensen', 'Ahmed El-Sayed Hegazi', 'Christopher Schindler', 'Lukasz Fabianski']","['Everton', 'Swansey City', 'Crystal Palace', 'Burnley', 'Crystal Palace', 'Liverpool', 'Crystal Palace', 'Huddersfield Town', ' West Bromwich Albion', 'Huddersfield Town', 'Swansey City']","[8, 18, 11, 7, 11, 4, 11, 16, 20, 16, 18]","[False, False, False, False, False, False, False, False, False, False, False]",0,"[3, 0, 2, 1, 2, 2, 2, 2, 1, 4, 3]","[5.0, 4.5, 4.7, 3.6, 13.5, 1.8, 4.4, 6.6, 17.8, 3.2, 10.1]"
550,550,1402,"[45, 46, 46, 47, 49, 49, 50, 52, 52, 55, 59]","[302, 250, 132, 414, 70, 171, 468, 164, 443, 290, 350]","[5, 4, 1]","['Ayoze Pérez', 'Fernando Luiz Rosa', 'Luka Milivojevic', 'Abdoulaye Doucouré', 'Pascal Groß', 'Mathias Jorgensen', 'Ahmed El-Sayed Hegazi', 'Christopher Schindler', 'Aaron Cresswell', 'Jamaal Lascelles', 'Lukasz Fabianski']","['Newcastle United', 'Manchester City', 'Crystal Palace', 'Watford', 'Brighton & Hove Albion', 'Huddersfield Town', ' West Bromwich Albion', 'Huddersfield Town', 'West Ham United', 'Newcastle United', 'Swansey City']","[10, 1, 11, 14, 15, 16, 20, 16, 13, 10, 18]","[False, False, False, False, False, False, False, False, False, False, False]",0,"[4, 2, 2, 1, 3, 2, 1, 4, 0, 2, 3]","[6.5, 4.6, 13.5, 11.0, 15.4, 6.6, 17.8, 3.2, 3.2, 9.5, 10.1]"
600,599,1567,"[44, 44, 45, 46, 47, 49, 52, 52, 55, 59, 106]","[302, 127, 132, 414, 70, 234, 117, 171, 468, 443, 350]","[4, 5, 1]","['Ayoze Pérez', 'James McArthur', 'Luka Milivojevic', 'Abdoulaye Doucouré', 'Pascal Groß', 'Mohamed Salah', 'James Tomkins', 'Mathias Jorgensen', 'Ahmed El-Sayed Hegazi', 'Aaron Cresswell', 'Lukasz Fabianski']","['Newcastle United', 'Crystal Palace', 'Crystal Palace', 'Watford', 'Brighton & Hove Albion', 'Liverpool', 'Crystal Palace', 'Huddersfield Town', ' West Bromwich Albion', 'West Ham United', 'Swansey City']","[10, 11, 11, 14, 15, 4, 11, 16, 20, 13, 18]","[False, False, False, False, False, True, False, False, False, False, False]",1,"[4, 2, 2, 1, 3, 11, 2, 2, 1, 0, 3]","[6.5, 4.7, 13.5, 11.0, 15.4, 56.7, 4.4, 6.6, 17.8, 3.2, 10.1]"
650,650,1722,"[45, 46, 47, 52, 52, 55, 58, 59, 61, 69, 106]","[302, 132, 414, 70, 342, 234, 171, 468, 381, 97, 350]","[4, 5, 1]","['Ayoze Pérez', 'Luka Milivojevic', 'Abdoulaye Doucouré', 'Pascal Groß', 'Xherdan Shaqiri', 'Mohamed Salah', 'Mathias Jorgensen', 'Ahmed El-Sayed Hegazi', 'Ben Davies', 'César Azpilicueta', 'Lukasz Fabianski']","['Newcastle United', 'Crystal Palace', 'Watford', 'Brighton & Hove Albion', 'Stoke City', 'Liverpool', 'Huddersfield Town', ' West Bromwich Albion', 'Tottenham Hotspur', 'Chelsea', 'Swansey City']","[10, 11, 14, 15, 19, 4, 16, 20, 3, 5, 18]","[False, False, False, False, False, True, False, False, False, True, False]",2,"[4, 2, 1, 3, 1, 11, 2, 1, 4, 4, 3]","[6.5, 13.5, 11.0, 15.4, 8.6, 56.7, 6.6, 17.8, 21.9, 21.0, 10.1]"
700,699,1845,"[46, 47, 52, 52, 55, 58, 59, 64, 69, 91, 106]","[302, 132, 414, 70, 247, 234, 468, 381, 245, 97, 350]","[4, 5, 1]","['Ayoze Pérez', 'Luka Milivojevic', 'Abdoulaye Doucouré', 'Pascal Groß', 'Raheem Sterling', 'Mohamed Salah', 'Ahmed El-Sayed Hegazi', 'Ben Davies', 'Nicolás Otamendi', 'César Azpilicueta', 'Lukasz Fabianski']","['Newcastle United', 'Crystal Palace', 'Watford', 'Brighton & Hove Albion', 'Manchester City', 'Liverpool', ' West Bromwich Albion', 'Tottenham Hotspur', 'Manchester City', 'Chelsea', 'Swansey City']","[10, 11, 14, 15, 1, 4, 20, 3, 1, 5, 18]","[False, False, False, False, True, True, False, False, True, True, False]",4,"[4, 2, 1, 3, 7, 11, 1, 4, 4, 4, 3]","[6.5, 13.5, 11.0, 15.4, 27.6, 56.7, 17.8, 21.9, 25.8, 21.0, 10.1]"
750,750,1933,"[47, 52, 55, 58, 59, 61, 64, 69, 88, 91, 106]","[302, 209, 132, 70, 342, 247, 234, 381, 245, 97, 350]","[3, 5, 2]","['Ayoze Pérez', 'Jamie Vardy', 'Luka Milivojevic', 'Pascal Groß', 'Xherdan Shaqiri', 'Raheem Sterling', 'Mohamed Salah', 'Ben Davies', 'Nicolás Otamendi', 'César Azpilicueta', 'Lukasz Fabianski']","['Newcastle United', 'Leicester City', 'Crystal Palace', 'Brighton & Hove Albion', 'Stoke City', 'Manchester City', 'Liverpool', 'Tottenham Hotspur', 'Manchester City', 'Chelsea', 'Swansey City']","[10, 9, 11, 15, 19, 1, 4, 3, 1, 5, 18]","[False, True, False, False, False, True, True, False, True, True, False]",5,"[4, 3, 2, 3, 1, 7, 11, 4, 4, 4, 3]","[6.5, 21.7, 13.5, 15.4, 8.6, 27.6, 56.7, 21.9, 25.8, 21.0, 10.1]"
800,792,2014,"[47, 52, 58, 59, 64, 69, 71, 87, 88, 91, 106]","[209, 132, 70, 199, 247, 234, 381, 245, 97, 100, 350]","[4, 5, 1]","['Jamie Vardy', 'Luka Milivojevic', 'Pascal Groß', 'Riyad Mahrez', 'Raheem Sterling', 'Mohamed Salah', 'Ben Davies', 'Nicolás Otamendi', 'César Azpilicueta', 'Marcos Alonso', 'Lukasz Fabianski']","['Leicester City', 'Crystal Palace', 'Brighton & Hove Albion', 'Leicester City', 'Manchester City', 'Liverpool', 'Tottenham Hotspur', 'Manchester City', 'Chelsea', 'Chelsea', 'Swansey City']","[9, 11, 15, 9, 1, 4, 3, 1, 5, 5, 18]","[True, False, False, True, True, True, False, True, True, True, False]",7,"[3, 2, 3, 4, 7, 11, 4, 4, 4, 5, 3]","[21.7, 13.5, 15.4, 8.2, 27.6, 56.7, 21.9, 25.8, 21.0, 16.2, 10.1]"
850,849,2084,"[58, 59, 59, 64, 69, 71, 87, 88, 91, 97, 106]","[209, 70, 199, 247, 387, 234, 381, 245, 97, 100, 260]","[4, 5, 1]","['Jamie Vardy', 'Pascal Groß', 'Riyad Mahrez', 'Raheem Sterling', 'Christian Eriksen', 'Mohamed Salah', 'Ben Davies', 'Nicolás Otamendi', 'César Azpilicueta', 'Marcos Alonso', 'David De Gea']","['Leicester City', 'Brighton & Hove Albion', 'Leicester City', 'Manchester City', 'Tottenham Hotspur', 'Liverpool', 'Tottenham Hotspur', 'Manchester City', 'Chelsea', 'Chelsea', 'Manchester United']","[9, 15, 9, 1, 3, 4, 3, 1, 5, 5, 2]","[True, False, True, True, True, True, False, True, True, True, True]",9,"[3, 3, 4, 7, 3, 11, 4, 4, 4, 5, 0]","[21.7, 15.4, 8.2, 27.6, 19.4, 56.7, 21.9, 25.8, 21.0, 16.2, 44.3]"
900,892,2132,"[59, 59, 64, 69, 71, 87, 88, 91, 95, 103, 106]","[209, 235, 70, 199, 247, 252, 234, 245, 97, 100, 260]","[3, 5, 2]","['Jamie Vardy', 'Roberto Firmino', 'Pascal Groß', 'Riyad Mahrez', 'Raheem Sterling', 'Kevin De Bruyne', 'Mohamed Salah', 'Nicolás Otamendi', 'César Azpilicueta', 'Marcos Alonso', 'David De Gea']","['Leicester City', 'Liverpool', 'Brighton & Hove Albion', 'Leicester City', 'Manchester City', 'Manchester City', 'Liverpool', 'Manchester City', 'Chelsea', 'Chelsea', 'Manchester United']","[9, 4, 15, 9, 1, 1, 4, 1, 5, 5, 2]","[True, False, False, True, True, True, True, True, True, True, True]",9,"[3, 3, 3, 4, 7, 5, 11, 4, 4, 5, 0]","[21.7, 36.1, 15.4, 8.2, 27.6, 21.4, 56.7, 25.8, 21.0, 16.2, 44.3]"
950,948,2175,"[47, 58, 69, 71, 87, 88, 91, 97, 103, 106, 131]","[209, 394, 199, 247, 387, 252, 234, 381, 97, 100, 350]","[3, 5, 2]","['Jamie Vardy', 'Harry Kane', 'Riyad Mahrez', 'Raheem Sterling', 'Christian Eriksen', 'Kevin De Bruyne', 'Mohamed Salah', 'Ben Davies', 'César Azpilicueta', 'Marcos Alonso', 'Lukasz Fabianski']","['Leicester City', 'Tottenham Hotspur', 'Leicester City', 'Manchester City', 'Tottenham Hotspur', 'Manchester City', 'Liverpool', 'Tottenham Hotspur', 'Chelsea', 'Chelsea', 'Swansey City']","[9, 3, 9, 1, 3, 1, 4, 3, 5, 5, 18]","[True, True, True, True, True, True, True, False, True, True, False]",9,"[3, 8, 4, 7, 3, 5, 11, 4, 4, 5, 3]","[21.7, 37.7, 8.2, 27.6, 19.4, 21.4, 56.7, 21.9, 21.0, 16.2, 10.1]"
