Budget,Best total cost,Best total points,Individual costs,Id
500,500,1139,"[41, 42, 43, 44, 44, 45, 46, 46, 47, 50, 52]","[548, 187, 367, 127, 132, 220, 444, 117, 171, 468, 350]"
550,550,1378,"[44, 45, 46, 47, 49, 49, 52, 52, 52, 55, 59]","[348, 302, 132, 414, 70, 117, 171, 468, 443, 290, 350]"
600,600,1532,"[45, 46, 46, 46, 47, 49, 49, 52, 55, 59, 106]","[548, 302, 132, 70, 234, 171, 468, 164, 443, 290, 350]"
650,650,1680,"[46, 47, 49, 49, 52, 54, 55, 59, 64, 69, 106]","[437, 302, 132, 70, 234, 468, 443, 290, 245, 97, 350]"
700,698,1792,"[46, 47, 49, 54, 55, 58, 59, 64, 69, 91, 106]","[437, 302, 70, 247, 234, 468, 443, 381, 245, 97, 350]"
750,750,1897,"[47, 49, 52, 55, 58, 64, 69, 71, 88, 91, 106]","[302, 209, 132, 247, 234, 443, 381, 245, 97, 100, 350]"
800,797,1974,"[47, 49, 58, 59, 64, 69, 71, 88, 91, 95, 106]","[209, 235, 70, 247, 234, 443, 381, 245, 97, 100, 350]"
850,849,2040,"[58, 59, 61, 64, 69, 71, 87, 88, 91, 95, 106]","[209, 235, 199, 247, 234, 381, 380, 245, 97, 100, 260]"
900,893,2084,"[58, 59, 64, 69, 69, 71, 87, 88, 91, 106, 131]","[209, 394, 199, 247, 234, 381, 245, 97, 267, 100, 260]"
950,909,2098,"[58, 59, 64, 69, 69, 71, 88, 91, 103, 106, 131]","[209, 394, 247, 252, 234, 381, 245, 97, 267, 100, 260]"
1000,909,2098,"[58, 59, 64, 69, 69, 71, 88, 91, 103, 106, 131]","[209, 394, 247, 252, 234, 381, 245, 97, 267, 100, 260]"
