Budget,Best total cost,Best total points,Individual costs,Id
500,500,1089,"[43, 43, 44, 44, 45, 45, 46, 46, 47, 48, 49]","[548, 347, 159, 367, 41, 127, 90, 117, 171, 468, 350]"
550,549,1357,"[44, 45, 46, 46, 47, 49, 52, 52, 54, 55, 59]","[548, 437, 302, 127, 132, 414, 70, 171, 468, 443, 350]"
600,599,1509,"[44, 45, 46, 46, 47, 49, 50, 52, 55, 59, 106]","[548, 187, 302, 127, 132, 70, 234, 171, 468, 443, 350]"
650,650,1668,"[46, 47, 52, 52, 52, 54, 55, 58, 59, 69, 106]","[348, 437, 302, 132, 414, 70, 234, 468, 381, 97, 350]"
700,700,1787,"[47, 49, 52, 54, 54, 55, 59, 64, 69, 91, 106]","[437, 373, 302, 132, 70, 247, 234, 443, 245, 97, 350]"
750,750,1896,"[47, 52, 54, 55, 58, 59, 69, 71, 88, 91, 106]","[437, 302, 209, 132, 70, 247, 234, 381, 97, 100, 350]"
800,797,1981,"[47, 52, 55, 59, 64, 69, 71, 88, 91, 95, 106]","[302, 209, 235, 132, 70, 247, 234, 245, 97, 100, 350]"
850,844,2047,"[55, 59, 59, 64, 69, 71, 87, 88, 91, 95, 106]","[302, 209, 235, 70, 199, 247, 234, 245, 97, 100, 260]"
900,895,2103,"[47, 58, 59, 64, 69, 87, 88, 91, 95, 106, 131]","[209, 235, 394, 70, 199, 247, 234, 381, 245, 97, 350]"
950,946,2160,"[47, 64, 69, 71, 87, 88, 91, 95, 97, 106, 131]","[209, 235, 394, 199, 247, 387, 234, 245, 97, 100, 350]"
1000,974,2189,"[59, 64, 69, 71, 88, 91, 95, 97, 103, 106, 131]","[209, 235, 394, 247, 387, 252, 234, 245, 97, 100, 260]"
