Budget,Best total cost,Best total points,Individual costs,Id
500,500,1158,"[38, 42, 42, 43, 43, 44, 47, 47, 48, 52, 54]","[262, 23, 105, 557, 449, 481, 146, 16, 562, 201, 213]"
550,550,1494,"[43, 43, 44, 46, 47, 47, 52, 53, 54, 55, 66]","[202, 105, 557, 449, 481, 271, 16, 562, 201, 46, 12]"
600,596,1720,"[48, 48, 50, 52, 53, 54, 55, 55, 56, 59, 66]","[202, 449, 481, 271, 203, 370, 62, 558, 42, 200, 12]"
650,649,1826,"[48, 50, 53, 54, 55, 55, 56, 57, 59, 66, 96]","[202, 481, 271, 203, 370, 390, 62, 42, 200, 435, 12]"
700,700,1904,"[48, 50, 52, 53, 54, 55, 56, 57, 66, 96, 113]","[202, 449, 481, 203, 390, 302, 62, 42, 200, 435, 12]"
750,741,1954,"[53, 55, 55, 56, 57, 58, 59, 66, 73, 96, 113]","[202, 271, 203, 370, 390, 302, 200, 435, 313, 255, 12]"
800,800,2013,"[50, 52, 53, 55, 56, 57, 66, 73, 96, 113, 129]","[202, 449, 203, 390, 302, 254, 42, 200, 435, 255, 12]"
850,850,2058,"[53, 55, 55, 56, 57, 58, 59, 96, 113, 119, 129]","[388, 271, 203, 390, 302, 254, 200, 435, 313, 556, 12]"
900,884,2093,"[53, 55, 55, 56, 57, 73, 78, 96, 113, 119, 129]","[388, 271, 203, 390, 302, 254, 200, 435, 255, 259, 12]"
950,947,2112,"[53, 55, 56, 57, 73, 78, 96, 113, 118, 119, 129]","[388, 203, 390, 302, 251, 254, 200, 435, 255, 259, 12]"
1000,987,2126,"[53, 55, 57, 73, 78, 96, 96, 113, 118, 119, 129]","[388, 390, 306, 302, 251, 254, 200, 435, 255, 259, 12]"
