Budget,Best total cost,Best total points,Individual costs,Id
500,500,1071,"[40, 42, 42, 42, 43, 43, 44, 47, 48, 52, 57]","[262, 50, 377, 23, 105, 449, 211, 16, 562, 201, 213]"
550,550,1421,"[43, 43, 44, 46, 47, 47, 52, 52, 53, 57, 66]","[344, 377, 202, 105, 557, 449, 16, 562, 201, 46, 12]"
600,600,1703,"[46, 48, 50, 52, 53, 54, 55, 56, 57, 63, 66]","[377, 514, 202, 449, 481, 203, 46, 62, 42, 200, 12]"
650,650,1799,"[48, 48, 52, 53, 55, 55, 57, 57, 63, 66, 96]","[377, 514, 202, 449, 271, 390, 62, 558, 200, 435, 12]"
700,699,1881,"[50, 53, 55, 55, 56, 57, 63, 66, 73, 75, 96]","[514, 202, 164, 271, 203, 390, 42, 200, 435, 255, 12]"
750,750,1960,"[53, 54, 55, 56, 57, 58, 63, 66, 73, 96, 119]","[514, 202, 388, 481, 203, 390, 200, 435, 313, 255, 12]"
800,800,2042,"[50, 53, 55, 55, 57, 63, 66, 73, 96, 113, 119]","[514, 202, 388, 271, 390, 302, 42, 200, 435, 255, 12]"
850,849,2085,"[48, 50, 53, 55, 57, 63, 66, 96, 113, 119, 129]","[514, 202, 388, 390, 302, 254, 62, 42, 200, 435, 12]"
900,895,2123,"[50, 53, 55, 63, 66, 73, 78, 96, 113, 119, 129]","[514, 202, 388, 390, 302, 254, 42, 200, 255, 259, 12]"
950,941,2157,"[53, 55, 57, 66, 73, 78, 96, 102, 113, 119, 129]","[202, 224, 388, 390, 302, 254, 200, 435, 255, 259, 12]"
1000,941,2157,"[53, 55, 57, 66, 73, 78, 96, 102, 113, 119, 129]","[202, 224, 388, 390, 302, 254, 200, 435, 255, 259, 12]"
