Budget,Best total cost,Best total points,Individual costs,Sorted individual costs,Id,Formation
500,500,1086,"[42, 48, 42, 44, 47, 47, 52, 43, 43, 44, 48]","[42, 42, 43, 43, 44, 44, 47, 47, 48, 48, 52]","[262, 93, 23, 76, 105, 557, 449, 16, 562, 201, 213]","[3, 5, 2]"
550,550,1438,"[57, 66, 42, 47, 47, 52, 54, 43, 43, 46, 53]","[42, 43, 43, 46, 47, 47, 52, 53, 54, 57, 66]","[377, 202, 23, 105, 557, 449, 481, 16, 562, 46, 12]","[3, 5, 2]"
600,599,1718,"[63, 66, 47, 52, 54, 55, 56, 48, 50, 55, 53]","[47, 48, 50, 52, 53, 54, 55, 55, 56, 63, 66]","[514, 202, 105, 449, 481, 271, 203, 62, 42, 200, 12]","[3, 5, 2]"
650,648,1832,"[63, 66, 52, 54, 55, 56, 96, 48, 50, 55, 53]","[48, 50, 52, 53, 54, 55, 55, 56, 63, 66, 96]","[514, 202, 449, 481, 271, 203, 390, 62, 42, 200, 12]","[3, 5, 2]"
700,697,1894,"[63, 66, 52, 54, 55, 56, 113, 55, 57, 73, 53]","[52, 53, 54, 55, 55, 56, 57, 63, 66, 73, 113]","[514, 202, 449, 481, 271, 203, 302, 200, 435, 255, 12]","[3, 5, 2]"
750,746,1978,"[63, 66, 55, 56, 59, 96, 113, 55, 57, 73, 53]","[53, 55, 55, 56, 57, 59, 63, 66, 73, 96, 113]","[514, 202, 271, 203, 370, 390, 302, 200, 435, 255, 12]","[3, 5, 2]"
800,797,2049,"[66, 119, 54, 55, 56, 96, 113, 55, 57, 73, 53]","[53, 54, 55, 55, 56, 57, 66, 73, 96, 113, 119]","[202, 388, 481, 271, 203, 390, 302, 200, 435, 255, 12]","[3, 5, 2]"
850,849,2104,"[66, 119, 55, 56, 96, 113, 129, 50, 55, 57, 53]","[50, 53, 55, 55, 56, 57, 66, 96, 113, 119, 129]","[202, 388, 271, 203, 390, 302, 254, 42, 200, 435, 12]","[3, 5, 2]"
900,893,2134,"[66, 119, 55, 56, 96, 113, 129, 55, 73, 78, 53]","[53, 55, 55, 56, 66, 73, 78, 96, 113, 119, 129]","[202, 388, 271, 203, 390, 302, 254, 200, 255, 259, 12]","[3, 5, 2]"
950,934,2151,"[66, 119, 56, 96, 96, 113, 129, 55, 73, 78, 53]","[53, 55, 56, 66, 73, 78, 96, 96, 113, 119, 129]","[202, 388, 203, 390, 306, 302, 254, 200, 255, 259, 12]","[3, 5, 2]"
1000,996,2167,"[66, 119, 96, 96, 113, 118, 129, 55, 73, 78, 53]","[53, 55, 66, 73, 78, 96, 96, 113, 118, 119, 129]","[202, 388, 390, 306, 302, 251, 254, 200, 255, 259, 12]","[3, 5, 2]"
