Budget,Best total cost,Best total points,Individual costs,Id
500,500,1056,"[42, 42, 42, 43, 43, 44, 46, 47, 47, 52, 52]","[262, 50, 344, 23, 105, 557, 449, 16, 562, 201, 417]"
550,550,1399,"[42, 43, 43, 46, 47, 48, 52, 52, 54, 57, 66]","[344, 377, 202, 23, 105, 449, 481, 16, 562, 46, 213]"
600,600,1697,"[43, 46, 52, 53, 54, 55, 55, 56, 57, 63, 66]","[377, 514, 202, 449, 481, 271, 203, 16, 46, 200, 12]"
650,650,1812,"[48, 50, 52, 53, 54, 55, 56, 57, 63, 66, 96]","[377, 514, 202, 449, 481, 203, 390, 62, 42, 200, 12]"
700,697,1889,"[50, 53, 54, 55, 55, 56, 57, 63, 66, 75, 113]","[514, 202, 164, 481, 271, 203, 302, 42, 200, 435, 12]"
750,747,1973,"[53, 54, 55, 55, 56, 57, 63, 66, 73, 96, 119]","[514, 202, 388, 481, 271, 203, 390, 200, 435, 255, 12]"
800,799,2049,"[50, 53, 55, 55, 56, 63, 66, 73, 96, 113, 119]","[514, 202, 388, 271, 203, 390, 302, 42, 200, 255, 12]"
850,848,2092,"[48, 50, 53, 55, 56, 63, 66, 96, 113, 119, 129]","[514, 202, 388, 203, 390, 302, 254, 62, 42, 200, 12]"
900,900,2142,"[53, 55, 55, 63, 66, 73, 78, 96, 113, 119, 129]","[514, 202, 388, 271, 390, 302, 254, 200, 255, 259, 12]"
950,940,2164,"[53, 55, 56, 66, 73, 78, 96, 102, 113, 119, 129]","[202, 224, 388, 203, 390, 302, 254, 200, 255, 259, 12]"
1000,980,2178,"[53, 55, 66, 73, 78, 96, 96, 102, 113, 119, 129]","[202, 224, 388, 390, 306, 302, 254, 200, 255, 259, 12]"
