Budget,Best total cost,Best total points,Individual costs,Id
500,500,1214,"[42, 43, 43, 44, 44, 45, 46, 47, 47, 48, 51]","[534, 70, 468, 470, 420, 287, 395, 297, 295, 42, 494]"
550,549,1428,"[43, 44, 45, 46, 47, 47, 48, 50, 51, 52, 76]","[234, 468, 313, 470, 420, 287, 395, 297, 295, 294, 93]"
600,600,1579,"[44, 45, 46, 47, 51, 52, 57, 58, 59, 65, 76]","[468, 502, 313, 420, 287, 172, 29, 297, 295, 183, 93]"
650,650,1713,"[45, 46, 50, 51, 52, 56, 58, 59, 76, 77, 80]","[468, 313, 409, 287, 417, 172, 29, 297, 294, 182, 93]"
700,700,1834,"[45, 46, 50, 51, 52, 58, 59, 76, 77, 80, 106]","[468, 313, 409, 287, 172, 29, 215, 297, 294, 182, 93]"
750,749,1942,"[46, 51, 52, 52, 59, 65, 76, 77, 80, 85, 106]","[468, 313, 409, 198, 29, 239, 215, 297, 183, 182, 93]"
800,799,2034,"[46, 52, 56, 59, 65, 76, 77, 80, 85, 97, 106]","[313, 409, 166, 417, 29, 239, 215, 297, 183, 182, 93]"
850,840,2109,"[52, 59, 65, 70, 73, 76, 77, 80, 85, 97, 106]","[313, 409, 166, 29, 113, 239, 215, 183, 181, 182, 93]"
900,892,2174,"[52, 59, 65, 70, 76, 77, 80, 85, 97, 106, 125]","[313, 409, 166, 29, 239, 215, 191, 183, 181, 182, 93]"
950,949,2232,"[52, 65, 65, 76, 77, 80, 85, 97, 106, 121, 125]","[313, 409, 166, 239, 215, 192, 191, 183, 401, 182, 93]"
1000,983,2257,"[52, 65, 70, 76, 77, 85, 97, 106, 109, 121, 125]","[313, 166, 11, 239, 215, 192, 191, 183, 181, 182, 93]"
