element_type,now_cost,total_points,id
1,47,24,1
1,49,106,2
2,54,62,3
2,53,60,4
2,54,77,5
2,43,24,6
2,54,80,7
2,49,81,8
2,47,3,10
2,45,14,11
2,51,64,12
3,79,89,13
3,71,91,14
3,54,99,15
3,42,10,16
3,52,90,17
3,66,98,18
3,44,0,19
3,44,34,20
4,64,19,21
4,94,166,22
4,108,205,23
3,47,78,450
3,44,47,451
1,40,0,542
3,45,0,545
2,40,0,546
4,50,10,552
3,45,1,563
3,45,4,566
2,45,4,581
3,57,4,586
1,43,63,24
1,41,46,25
2,43,40,26
2,43,85,27
2,41,44,28
2,43,70,29
2,42,5,30
2,51,120,31
2,39,10,32
3,43,0,34
3,46,36,35
3,60,56,36
3,47,54,37
3,49,33,38
3,46,22,39
3,64,181,40
3,44,1,41
3,50,123,42
4,69,168,43
4,49,28,44
4,64,141,45
4,56,4,46
2,44,34,241
4,47,15,259
2,41,8,473
3,45,75,494
2,45,27,580
4,45,2,599
3,45,0,600
3,45,0,613
1,40,9,616
3,45,0,620
1,44,104,47
2,44,91,48
2,47,115,49
2,44,46,50
2,44,48,51
2,38,0,52
2,38,0,53
2,42,15,54
3,52,74,55
3,43,65,56
3,44,36,57
3,47,94,58
3,67,80,59
3,48,72,60
3,59,31,61
4,61,129,62
4,49,0,63
4,45,0,64
4,53,52,65
4,50,38,66
1,40,15,179
1,39,0,439
2,42,39,440
3,46,43,466
3,67,33,476
2,43,45,503
4,45,0,551
2,40,0,559
3,45,0,572
2,45,0,582
3,45,0,617
1,48,58,67
1,48,0,68
2,46,34,69
2,46,81,70
2,47,7,71
2,47,97,72
2,41,16,73
2,44,82,74
2,42,33,75
3,55,92,76
3,53,10,77
3,52,73,78
3,54,20,79
3,46,111,80
3,47,0,81
3,46,87,82
3,49,41,83
4,53,48,84
4,56,122,85
4,45,0,86
4,63,131,87
1,43,0,485
1,42,69,490
2,48,6,491
4,56,21,495
3,44,75,534
2,40,0,564
3,45,0,583
4,44,8,590
2,40,0,615
3,49,48,33
1,46,154,88
1,42,0,89
2,47,97,90
2,44,95,91
2,44,97,92
2,38,0,93
2,44,77,94
2,39,43,95
2,39,2,96
2,40,0,97
3,46,45,98
3,50,82,99
3,48,63,100
3,48,80,101
3,44,65,102
3,44,0,103
3,43,2,104
3,43,22,105
3,48,76,106
4,46,33,107
4,45,0,108
4,44,5,109
4,52,80,110
4,50,30,176
2,41,9,467
3,44,106,504
3,45,24,535
1,40,0,537
4,45,3,573
2,43,17,589
1,55,0,111
1,47,13,112
2,64,158,113
2,50,2,114
2,62,161,115
2,58,164,116
2,55,2,117
2,59,116,118
2,50,22,119
2,50,9,120
2,52,22,121
3,110,238,122
3,62,6,123
3,71,108,124
3,62,112,125
3,49,116,126
3,50,79,127
3,46,0,128
3,49,0,129
3,44,0,130
3,42,18,131
3,52,79,132
4,77,55,133
4,84,46,134
3,46,96,459
4,54,0,496
1,54,142,498
3,57,64,499
4,90,53,579
2,40,0,624
1,44,67,135
1,39,1,136
1,43,81,137
2,43,86,138
2,44,23,139
2,39,26,140
2,43,91,141
2,55,140,142
2,49,88,143
2,43,0,144
2,46,120,145
3,49,121,147
3,49,4,148
3,56,135,149
3,65,166,150
4,70,143,151
4,63,33,152
4,48,12,153
3,47,67,412
2,43,13,441
2,40,0,442
2,42,1,443
4,49,9,444
3,43,0,477
3,55,60,486
4,57,46,505
1,40,0,576
1,40,0,584
4,62,48,592
2,40,0,609
3,45,1,618
2,40,0,619
1,49,161,154
1,39,0,155
2,50,7,156
2,52,125,157
2,43,22,158
2,45,0,159
2,43,5,160
2,41,19,161
2,48,129,162
2,45,0,163
