Budget,Best total cost,Best total points,Individual costs,Sorted individual costs,Id,Formation,Name,Team,Team position,Dreamteam,Amount in Dreamteam,Months in Dreamteam,Selected by percentage,Goals,Assists,Bonus points,Clean Sheets,Goals_conded,Total minutes,Total saves,Yellow cards,Red cards,Goals conceded
500,500,1195,"[47, 44, 44, 46, 49, 41, 43, 46, 47, 47, 46]","[41, 43, 44, 44, 46, 46, 46, 47, 47, 47, 49]","[347, 504, 340, 80, 147, 427, 483, 145, 423, 49, 88]","[5, 4, 1]","['Shane Long', 'Víctor Camarasa', 'Pierre-Emile Højbjerg', 'Ashley Westwood', 'James McArthur', 'Ryan Bennett', 'Jonathan Castro Otto', 'Aaron Wan-Bissaka', 'Willy Boly', 'Shane Duffy', 'Neil Etheridge']","['Southampton', 'Cardiff City', 'Southampton', 'Burnley', 'Crystal Palace', 'Wolverhampton Wanderers', 'Wolverhampton Wanderers', 'Crystal Palace', 'Wolverhampton Wanderers', 'Brighton & Hove Albion', 'Cardiff City']","[16, 18, 16, 15, 12, 7, 7, 12, 7, 17, 18]","[False, False, False, False, False, False, False, False, False, False, False]",0,"[1, 1, 1, 1, 1, 0, 2, 2, 3, 4, 5]","[4.9, 2.2, 3.2, 3.1, 3.4, 8.0, 3.6, 26.3, 6.1, 8.1, 10.2]","[5, 5, 4, 2, 3, 1, 1, 0, 4, 5, 0]","[2, 4, 3, 8, 7, 0, 3, 3, 0, 2, 0]","[5, 5, 8, 10, 7, 1, 9, 18, 10, 9, 18]","[2, 9, 4, 7, 11, 9, 8, 12, 8, 7, 10]","[24, 53, 59, 55, 49, 38, 39, 47, 43, 55, 69]","[1260, 2569, 2760, 2821, 3057, 3060, 2772, 3134, 3168, 3087, 3420]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 141]","[3, 6, 7, 5, 7, 12, 6, 4, 2, 4, 2]","[0, 0, 2, 0, 0, 0, 0, 1, 1, 1, 0]","[24, 53, 59, 55, 49, 38, 39, 47, 43, 55, 69]"
550,550,1484,"[59, 44, 46, 49, 50, 43, 48, 53, 54, 58, 46]","[43, 44, 46, 46, 48, 49, 50, 53, 54, 58, 59]","[493, 504, 80, 147, 42, 483, 162, 221, 484, 245, 88]","[5, 4, 1]","['Salomón Rondón', 'Víctor Camarasa', 'Ashley Westwood', 'James McArthur', 'David Brooks', 'Jonathan Castro Otto', 'Michael Keane', 'Ricardo Domingos Barbosa Pereira', 'Lucas Digne', 'Trent Alexander-Arnold', 'Neil Etheridge']","['Newcastle United', 'Cardiff City', 'Burnley', 'Crystal Palace', 'Bournemouth', 'Wolverhampton Wanderers', 'Everton', 'Leicester City', 'Everton', 'Liverpool', 'Cardiff City']","[13, 18, 15, 12, 14, 7, 8, 9, 8, 2, 18]","[False, False, False, False, False, False, False, False, False, True, False]",1,"[3, 1, 1, 1, 2, 2, 3, 5, 4, 8, 5]","[7.7, 2.2, 3.1, 3.4, 3.6, 3.6, 4.3, 10.6, 10.2, 26.9, 10.2]","[11, 5, 2, 3, 7, 1, 1, 2, 4, 1, 0]","[8, 4, 8, 7, 6, 3, 2, 8, 5, 13, 0]","[20, 5, 10, 7, 7, 9, 15, 22, 22, 25, 18]","[9, 9, 7, 11, 9, 8, 13, 10, 13, 16, 10]","[31, 53, 55, 49, 41, 39, 39, 45, 38, 14, 69]","[2601, 2569, 2821, 3057, 2263, 2772, 2970, 3123, 2964, 2460, 3420]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 141]","[1, 6, 5, 7, 3, 6, 2, 7, 5, 3, 2]","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[31, 53, 55, 49, 41, 39, 39, 45, 38, 14, 69]"
600,600,1705,"[59, 44, 46, 49, 64, 46, 54, 58, 67, 67, 46]","[44, 46, 46, 46, 49, 54, 58, 59, 64, 67, 67]","[493, 504, 80, 147, 40, 145, 484, 245, 247, 246, 88]","[5, 4, 1]","['Salomón Rondón', 'Víctor Camarasa', 'Ashley Westwood', 'James McArthur', 'Ryan Fraser', 'Aaron Wan-Bissaka', 'Lucas Digne', 'Trent Alexander-Arnold', 'Andrew Robertson', 'Virgil van Dijk', 'Neil Etheridge']","['Newcastle United', 'Cardiff City', 'Burnley', 'Crystal Palace', 'Bournemouth', 'Crystal Palace', 'Everton', 'Liverpool', 'Liverpool', 'Liverpool', 'Cardiff City']","[13, 18, 15, 12, 14, 12, 8, 2, 2, 2, 18]","[False, False, False, False, False, False, False, True, True, True, False]",3,"[3, 1, 1, 1, 6, 2, 4, 8, 5, 4, 5]","[7.7, 2.2, 3.1, 3.4, 23.7, 26.3, 10.2, 26.9, 33.0, 32.3, 10.2]","[11, 5, 2, 3, 7, 0, 4, 1, 0, 4, 0]","[8, 4, 8, 7, 14, 3, 5, 13, 12, 4, 0]","[20, 5, 10, 7, 23, 18, 22, 25, 29, 22, 18]","[9, 9, 7, 11, 9, 12, 13, 16, 21, 20, 10]","[31, 53, 55, 49, 64, 47, 38, 14, 20, 22, 69]","[2601, 2569, 2821, 3057, 3165, 3134, 2964, 2460, 3216, 3384, 3420]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 141]","[1, 6, 5, 7, 2, 4, 5, 3, 4, 1, 2]","[0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]","[31, 53, 55, 49, 64, 47, 38, 14, 20, 22, 69]"
650,650,1861,"[69, 49, 50, 64, 65, 54, 58, 58, 67, 67, 49]","[49, 49, 50, 54, 58, 58, 64, 65, 67, 67, 69]","[437, 147, 42, 40, 150, 484, 245, 116, 247, 246, 154]","[5, 4, 1]","['Raúl Jiménez', 'James McArthur', 'David Brooks', 'Ryan Fraser', 'Luka Milivojevic', 'Lucas Digne', 'Trent Alexander-Arnold', 'David Luiz Moreira Marinho', 'Andrew Robertson', 'Virgil van Dijk', 'Jordan Pickford']","['Wolverhampton Wanderers', 'Crystal Palace', 'Bournemouth', 'Bournemouth', 'Crystal Palace', 'Everton', 'Liverpool', 'Chelsea', 'Liverpool', 'Liverpool', 'Everton']","[7, 12, 14, 14, 12, 8, 2, 3, 2, 2, 8]","[False, False, False, False, False, False, True, False, True, True, False]",3,"[3, 1, 2, 6, 4, 4, 8, 4, 5, 4, 2]","[33.4, 3.4, 3.6, 23.7, 10.6, 10.2, 26.9, 11.7, 33.0, 32.3, 13.3]","[13, 3, 7, 7, 12, 4, 1, 3, 0, 4, 0]","[10, 7, 6, 14, 2, 5, 13, 2, 12, 4, 0]","[31, 7, 7, 23, 24, 22, 25, 19, 29, 22, 13]","[12, 11, 9, 9, 12, 13, 16, 16, 21, 20, 14]","[40, 49, 41, 64, 53, 38, 14, 36, 20, 22, 46]","[3112, 3057, 2263, 3165, 3420, 2964, 2460, 3238, 3216, 3384, 3420]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 94]","[4, 7, 3, 2, 10, 5, 3, 3, 4, 1, 1]","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]","[40, 49, 41, 64, 53, 38, 14, 36, 20, 22, 46]"
700,699,1980,"[69, 69, 64, 65, 74, 54, 58, 63, 67, 67, 49]","[49, 54, 58, 63, 64, 65, 67, 67, 69, 69, 74]","[437, 43, 40, 150, 172, 484, 245, 268, 247, 246, 154]","[5, 3, 2]","['Raúl Jiménez', 'Callum Wilson', 'Ryan Fraser', 'Luka Milivojevic', 'Gylfi Sigurdsson', 'Lucas Digne', 'Trent Alexander-Arnold', 'Aymeric Laporte', 'Andrew Robertson', 'Virgil van Dijk', 'Jordan Pickford']","['Wolverhampton Wanderers', 'Bournemouth', 'Bournemouth', 'Crystal Palace', 'Everton', 'Everton', 'Liverpool', 'Manchester City', 'Liverpool', 'Liverpool', 'Everton']","[7, 14, 14, 12, 8, 8, 2, 1, 2, 2, 8]","[False, False, False, False, True, False, True, False, True, True, False]",4,"[3, 7, 6, 4, 3, 4, 8, 3, 5, 4, 2]","[33.4, 20.3, 23.7, 10.6, 8.3, 10.2, 26.9, 16.7, 33.0, 32.3, 13.3]","[13, 14, 7, 12, 13, 4, 1, 3, 0, 4, 0]","[10, 12, 14, 2, 6, 5, 13, 3, 12, 4, 0]","[31, 22, 23, 24, 20, 22, 25, 16, 29, 22, 13]","[12, 9, 9, 12, 15, 13, 16, 18, 21, 20, 14]","[40, 47, 64, 53, 41, 38, 14, 21, 20, 22, 46]","[3112, 2528, 3165, 3420, 3122, 2964, 2460, 3056, 3216, 3384, 3420]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 94]","[4, 3, 2, 10, 3, 5, 3, 3, 4, 1, 1]","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]","[40, 47, 64, 53, 41, 38, 14, 21, 20, 22, 46]"
750,750,2065,"[69, 64, 65, 74, 110, 54, 58, 63, 67, 67, 59]","[54, 58, 59, 63, 64, 65, 67, 67, 69, 74, 110]","[437, 40, 150, 172, 122, 484, 245, 268, 247, 246, 468]","[5, 4, 1]","['Raúl Jiménez', 'Ryan Fraser', 'Luka Milivojevic', 'Gylfi Sigurdsson', 'Eden Hazard', 'Lucas Digne', 'Trent Alexander-Arnold', 'Aymeric Laporte', 'Andrew Robertson', 'Virgil van Dijk', 'Alisson Ramses Becker']","['Wolverhampton Wanderers', 'Bournemouth', 'Crystal Palace', 'Everton', 'Chelsea', 'Everton', 'Liverpool', 'Manchester City', 'Liverpool', 'Liverpool', 'Liverpool']","[7, 14, 12, 8, 3, 8, 2, 1, 2, 2, 2]","[False, False, False, True, True, False, True, False, True, True, True]",6,"[3, 6, 4, 3, 9, 4, 8, 3, 5, 4, 1]","[33.4, 23.7, 10.6, 8.3, 27.2, 10.2, 26.9, 16.7, 33.0, 32.3, 23.4]","[13, 7, 12, 13, 16, 4, 1, 3, 0, 4, 0]","[10, 14, 2, 6, 15, 5, 13, 3, 12, 4, 0]","[31, 23, 24, 20, 35, 22, 25, 16, 29, 22, 9]","[12, 9, 12, 15, 12, 13, 16, 18, 21, 20, 21]","[40, 64, 53, 41, 35, 38, 14, 21, 20, 22, 22]","[3112, 3165, 3420, 3122, 2918, 2964, 2460, 3056, 3216, 3384, 3420]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 76]","[4, 2, 10, 3, 2, 5, 3, 3, 4, 1, 1]","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]","[40, 64, 53, 41, 35, 38, 14, 21, 20, 22, 22]"
800,799,2138,"[69, 64, 65, 74, 103, 110, 58, 63, 67, 67, 59]","[58, 59, 63, 64, 65, 67, 67, 69, 74, 103, 110]","[437, 40, 150, 172, 251, 122, 245, 268, 247, 246, 468]","[4, 5, 1]","['Raúl Jiménez', 'Ryan Fraser', 'Luka Milivojevic', 'Gylfi Sigurdsson', 'Sadio Mané', 'Eden Hazard', 'Trent Alexander-Arnold', 'Aymeric Laporte', 'Andrew Robertson', 'Virgil van Dijk', 'Alisson Ramses Becker']","['Wolverhampton Wanderers', 'Bournemouth', 'Crystal Palace', 'Everton', 'Liverpool', 'Chelsea', 'Liverpool', 'Manchester City', 'Liverpool', 'Liverpool', 'Liverpool']","[7, 14, 12, 8, 2, 3, 2, 1, 2, 2, 2]","[False, False, False, True, True, True, True, False, True, True, True]",7,"[3, 6, 4, 3, 8, 9, 8, 3, 5, 4, 1]","[33.4, 23.7, 10.6, 8.3, 38.6, 27.2, 26.9, 16.7, 33.0, 32.3, 23.4]","[13, 7, 12, 13, 22, 16, 1, 3, 0, 4, 0]","[10, 14, 2, 6, 3, 15, 13, 3, 12, 4, 0]","[31, 23, 24, 20, 24, 35, 25, 16, 29, 22, 9]","[12, 9, 12, 15, 19, 12, 16, 18, 21, 20, 21]","[40, 64, 53, 41, 21, 35, 14, 21, 20, 22, 22]","[3112, 3165, 3420, 3122, 3076, 2918, 2460, 3056, 3216, 3384, 3420]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 76]","[4, 2, 10, 3, 2, 2, 3, 3, 4, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[40, 64, 53, 41, 21, 35, 14, 21, 20, 22, 22]"
850,850,2213,"[69, 64, 103, 110, 132, 58, 58, 63, 67, 67, 59]","[58, 58, 59, 63, 64, 67, 67, 69, 103, 110, 132]","[437, 40, 251, 122, 253, 245, 116, 268, 247, 246, 468]","[5, 4, 1]","['Raúl Jiménez', 'Ryan Fraser', 'Sadio Mané', 'Eden Hazard', 'Mohamed Salah', 'Trent Alexander-Arnold', 'David Luiz Moreira Marinho', 'Aymeric Laporte', 'Andrew Robertson', 'Virgil van Dijk', 'Alisson Ramses Becker']","['Wolverhampton Wanderers', 'Bournemouth', 'Liverpool', 'Chelsea', 'Liverpool', 'Liverpool', 'Chelsea', 'Manchester City', 'Liverpool', 'Liverpool', 'Liverpool']","[7, 14, 2, 3, 2, 2, 3, 1, 2, 2, 2]","[False, False, True, True, True, True, False, False, True, True, True]",7,"[3, 6, 8, 9, 6, 8, 4, 3, 5, 4, 1]","[33.4, 23.7, 38.6, 27.2, 33.9, 26.9, 11.7, 16.7, 33.0, 32.3, 23.4]","[13, 7, 22, 16, 22, 1, 3, 3, 0, 4, 0]","[10, 14, 3, 15, 12, 13, 2, 3, 12, 4, 0]","[31, 23, 24, 35, 18, 25, 19, 16, 29, 22, 9]","[12, 9, 19, 12, 21, 16, 16, 18, 21, 20, 21]","[40, 64, 21, 35, 20, 14, 36, 21, 20, 22, 22]","[3112, 3165, 3076, 2918, 3254, 2460, 3238, 3056, 3216, 3384, 3420]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 76]","[4, 2, 2, 2, 1, 3, 3, 3, 4, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[40, 64, 21, 35, 20, 14, 36, 21, 20, 22, 22]"
900,899,2268,"[69, 64, 103, 110, 117, 132, 58, 63, 67, 67, 49]","[49, 58, 63, 64, 67, 67, 69, 103, 110, 117, 132]","[437, 40, 251, 122, 270, 253, 245, 268, 247, 246, 154]","[4, 5, 1]","['Raúl Jiménez', 'Ryan Fraser', 'Sadio Mané', 'Eden Hazard', 'Raheem Sterling', 'Mohamed Salah', 'Trent Alexander-Arnold', 'Aymeric Laporte', 'Andrew Robertson', 'Virgil van Dijk', 'Jordan Pickford']","['Wolverhampton Wanderers', 'Bournemouth', 'Liverpool', 'Chelsea', 'Manchester City', 'Liverpool', 'Liverpool', 'Manchester City', 'Liverpool', 'Liverpool', 'Everton']","[7, 14, 2, 3, 1, 2, 2, 1, 2, 2, 8]","[False, False, True, True, True, True, True, False, True, True, False]",7,"[3, 6, 8, 9, 6, 6, 8, 3, 5, 4, 2]","[33.4, 23.7, 38.6, 27.2, 24.8, 33.9, 26.9, 16.7, 33.0, 32.3, 13.3]","[13, 7, 22, 16, 17, 22, 1, 3, 0, 4, 0]","[10, 14, 3, 15, 15, 12, 13, 3, 12, 4, 0]","[31, 23, 24, 35, 25, 18, 25, 16, 29, 22, 13]","[12, 9, 19, 12, 17, 21, 16, 18, 21, 20, 14]","[40, 64, 21, 35, 19, 20, 14, 21, 20, 22, 46]","[3112, 3165, 3076, 2918, 2770, 3254, 2460, 3056, 3216, 3384, 3420]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 94]","[4, 2, 2, 2, 3, 1, 3, 3, 4, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[40, 64, 21, 35, 19, 20, 14, 21, 20, 22, 46]"
950,948,2307,"[108, 64, 103, 110, 117, 132, 58, 63, 67, 67, 59]","[58, 59, 63, 64, 67, 67, 103, 108, 110, 117, 132]","[23, 40, 251, 122, 270, 253, 245, 268, 247, 246, 468]","[4, 5, 1]","['Pierre-Emerick Aubameyang', 'Ryan Fraser', 'Sadio Mané', 'Eden Hazard', 'Raheem Sterling', 'Mohamed Salah', 'Trent Alexander-Arnold', 'Aymeric Laporte', 'Andrew Robertson', 'Virgil van Dijk', 'Alisson Ramses Becker']","['Arsenal', 'Bournemouth', 'Liverpool', 'Chelsea', 'Manchester City', 'Liverpool', 'Liverpool', 'Manchester City', 'Liverpool', 'Liverpool', 'Liverpool']","[5, 14, 2, 3, 1, 2, 2, 1, 2, 2, 2]","[True, False, True, True, True, True, True, False, True, True, True]",9,"[5, 6, 8, 9, 6, 6, 8, 3, 5, 4, 1]","[18.8, 23.7, 38.6, 27.2, 24.8, 33.9, 26.9, 16.7, 33.0, 32.3, 23.4]","[22, 7, 22, 16, 17, 22, 1, 3, 0, 4, 0]","[7, 14, 3, 15, 15, 12, 13, 3, 12, 4, 0]","[32, 23, 24, 35, 25, 18, 25, 16, 29, 22, 9]","[7, 9, 19, 12, 17, 21, 16, 18, 21, 20, 21]","[42, 64, 21, 35, 19, 20, 14, 21, 20, 22, 22]","[2722, 3165, 3076, 2918, 2770, 3254, 2460, 3056, 3216, 3384, 3420]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 76]","[0, 2, 2, 2, 3, 1, 3, 3, 4, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[42, 64, 21, 35, 19, 20, 14, 21, 20, 22, 22]"
