Budget,Best total cost,Best total points,Individual costs,Id
500,500,1185,"[41, 43, 44, 44, 46, 46, 46, 46, 47, 48, 49]","[347, 504, 340, 80, 459, 147, 427, 483, 145, 162, 88]"
550,549,1471,"[44, 46, 46, 46, 48, 49, 49, 50, 54, 58, 59]","[493, 504, 80, 147, 126, 42, 145, 162, 484, 245, 88]"
600,600,1681,"[44, 46, 46, 46, 49, 54, 58, 59, 64, 67, 67]","[493, 504, 80, 459, 147, 40, 484, 245, 247, 246, 88]"
650,650,1839,"[46, 49, 54, 55, 56, 58, 64, 65, 67, 67, 69]","[437, 147, 343, 149, 40, 150, 484, 245, 247, 246, 88]"
700,700,1946,"[55, 58, 58, 59, 64, 64, 65, 67, 67, 69, 74]","[437, 343, 40, 393, 150, 172, 245, 116, 247, 246, 468]"
750,750,2045,"[49, 58, 63, 64, 64, 65, 67, 67, 69, 74, 110]","[437, 40, 393, 150, 172, 122, 245, 268, 247, 246, 154]"
800,799,2138,"[58, 59, 63, 64, 65, 67, 67, 69, 74, 103, 110]","[437, 40, 150, 172, 251, 122, 245, 268, 247, 246, 468]"
850,847,2200,"[49, 58, 63, 64, 65, 67, 67, 69, 103, 110, 132]","[437, 40, 150, 251, 122, 253, 245, 268, 247, 246, 154]"
900,899,2268,"[49, 58, 63, 64, 67, 67, 69, 103, 110, 117, 132]","[437, 40, 251, 122, 270, 253, 245, 268, 247, 246, 154]"
950,948,2307,"[58, 59, 63, 64, 67, 67, 103, 108, 110, 117, 132]","[23, 40, 251, 122, 270, 253, 245, 268, 247, 246, 468]"
1000,958,2308,"[58, 59, 63, 67, 67, 74, 103, 108, 110, 117, 132]","[23, 172, 251, 122, 270, 253, 245, 268, 247, 246, 468]"
